Player,C,GP,SFrac,G,A,P,+/-,ESG,ESA,ESP,PPG,PPA,PPP,SHG,SHA,SHP,TGF,PGF,TGA,PGA,SHGF,SHGA,ESGF,ESGA,$ESG,$ESA,$ESP,$ESP/S,$ESGF,$ESGA,R-ON,R-OFF,XEV+/-,EV+/-,AEV+/-,EV%,TmEV+,EVCalc,TmEVR,$PPG,$PPA,$PPP,$PPP/S,PP%,TmPP+,PPCalc,TmPPR,$SHG,$SHA,$SHP,$SHP/S,SH%,TmSH+,SHCalc,TmSHR,Column1
"GRETZKY, WAYNE",C,1487,18.8,894,1963,2857,518,617,1205,1822,204,682,886,73,76,149,3520,1164,2285,447,154,159,2202,1679,538,1070,1608,85,1949,1549,1.26,1.04,39,401,361,46%,1.13,8.7,1,177,595,772,41,82%,1.10,15.4,1.4,61,61,122,6,31%,0.86,5.9,-0.9,1548.58
"MESSIER, MARK",L,1756,22.1,694,1193,1887,210,452,711,1163,179,403,582,63,79,142,2575,865,2183,683,170,112,1540,1388,423,679,1102,50,1463,1339,1.09,1.13,109,124,15,33%,1.12,7.4,1,160,364,524,24,56%,1.07,12.3,0.8,57,57,115,5,41%,0.90,9.1,-0.9,1339.25
"FRANCIS, RON",C,1731,21.7,549,1249,1798,-10,349,688,1037,188,543,731,12,18,30,2635,1150,1846,352,52,180,1433,1314,339,686,1025,47,1422,1275,1.12,0.89,-98,147,245,34%,0.96,7.4,0,161,471,632,29,73%,1.00,15.9,0.0,11,11,22,1,25%,0.99,5.4,-0.1,1274.84
"DIONNE, MARCEL",C,1348,16.9,731,1040,1771,28,478,627,1105,234,402,636,19,11,30,2357,961,1525,157,33,141,1363,1227,407,534,940,56,1159,1050,1.10,0.80,-160,109,270,35%,0.91,6.0,-1,194,350,544,32,77%,1.03,13.0,0.4,20,20,40,2,13%,1.03,2.3,0.1,1049.54
"YZERMAN, STEVE",C,1514,19.0,692,1063,1755,185,440,640,1080,202,390,592,50,33,83,2457,946,1754,428,105,111,1406,1215,426,632,1059,56,1387,1176,1.18,1.10,78,211,133,36%,1.13,6.9,1,177,346,523,27,69%,1.10,13.1,1.2,45,45,90,5,35%,0.81,6.8,-1.5,1176.13
"LEMIEUX, MARIO",C,915,11.3,690,1033,1723,115,406,548,954,236,463,699,48,22,70,2165,921,1359,258,72,156,1172,945,378,519,897,79,1104,894,1.24,0.84,-111,210,322,46%,0.98,5.1,0,180,348,528,47,92%,1.06,10.4,0.6,37,37,74,7,26%,1.04,3.0,0.1,893.60
"JAGR, JAROMIR",R,1391,17.8,681,1007,1688,278,475,641,1116,195,362,557,11,4,15,2241,817,1232,86,19,112,1405,1034,544,727,1270,72,1602,1181,1.36,0.95,-44,421,466,41%,1.10,7.3,1,193,356,549,31,67%,1.11,12.0,1.3,13,13,27,2,7%,1.05,1.3,0.1,1180.99
"SAKIC, JOE",C,1378,17.3,625,1016,1641,30,388,573,961,205,426,631,32,17,49,2220,965,1527,302,61,159,1194,1066,422,628,1051,61,1307,1137,1.15,1.00,4,170,166,38%,1.07,6.6,0,185,397,582,34,78%,1.06,13.5,0.8,33,33,67,4,25%,1.02,4.3,0.1,1136.89
"BOURQUE, RAY",D,1612,20.3,410,1167,1577,528,221,552,773,173,586,759,16,29,45,3257,1272,2144,687,115,122,1870,1335,198,511,709,35,1740,1269,1.37,0.95,-49,471,519,42%,1.10,8.4,1,158,522,680,33,88%,1.11,17.8,1.9,17,17,34,2,58%,0.88,11.8,-1.5,1269.23
"RECCHI, MARK",R,1652,20.6,577,956,1533,0,364,573,937,200,369,569,18,14,32,2173,860,1545,232,45,128,1268,1185,389,627,1016,49,1377,1291,1.07,1.02,18,85,67,35%,1.05,7.2,0,195,356,551,27,65%,1.01,13.4,0.1,19,19,38,2,17%,1.00,3.5,0.0,1291.19
